,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
10,119.42098,238.19096,247.55733,354.9821,222.80046,356.7113,249.99211,447.53372,387.17126,240.03929,365.60342,439.65976,453.9712,174.32347,251.24547,135.07462,437.08344,412.9463,173.869,339.3111,238.05484,409.1387,364.5831,305.96167,465.58957,329.6415,462.27298,456.30884,211.45894,417.91464,252.77966,362.43304,301.52713,410.1174,346.3399,215.5052,412.92648,324.67822,413.6368,412.57224,362.22604,461.03812,249.30016,440.79294,413.31573,403.18192,384.55307,476.50775,324.62045,377.0353,417.8156,355.3605,347.42776,403.90594,329.99203,424.1517,387.98703,154.15332,414.68073,410.51968,407.5079,436.47675,429.7131,414.5722,329.07745,235.49852,366.60373,225.52238,372.95407,373.58936,393.45728,371.99966,226.23233,267.0513,420.98697,391.0161,343.99118,351.38235,393.44214,302.89587,399.74734,324.42838,476.8569,418.56763,529.18274,431.75217,190.15277,440.9527,442.11642,416.69168,484.1657,360.58463,597.83185,314.57,389.97943,443.70047,353.2459,349.50943,435.57587,294.46628,437.61667,313.129,159.81732,410.12854,417.1681,423.09448,441.3793,425.2577,433.0422,360.56906,303.9881,422.40082,239.87909,435.28186,381.24008,445.5143,367.51813,307.45782,273.00058,412.0096,406.86197,376.25708,335.46082,364.99927,277.62003,393.6807,378.23947,420.16733,426.9833,430.92798,439.42163,445.37292,442.9415,444.67596
11,118.85184,237.7757,247.32108,355.00516,222.61699,356.3198,249.85678,447.02295,387.06653,239.9815,365.64542,439.08185,454.17142,174.39267,251.29547,134.84085,436.94904,412.67407,173.67307,339.05542,237.91023,408.7452,364.6588,306.1302,465.52203,329.2785,462.23856,456.41656,211.52785,418.159,252.6305,362.01285,301.52713,409.62997,346.41074,215.5121,412.82397,324.35468,413.92502,412.41113,362.26123,460.67508,249.26353,441.02417,413.50504,403.28027,384.45175,476.20523,324.83685,376.98804,417.56244,355.22028,347.16452,403.66605,329.70334,424.9375,388.1215,154.41704,414.6831,410.76205,407.82153,436.94592,429.94992,414.34125,328.7296,234.94412,366.1018,225.47559,372.94098,373.74225,393.5789,372.4283,225.95947,267.39044,420.55365,391.76666,344.14368,351.6007,393.3144,303.32846,399.3794,323.5317,477.13464,418.9117,529.032,431.6974,189.9644,440.1199,442.45905,416.8727,484.65735,360.6263,597.8074,314.87546,390.292,443.537,353.26126,349.60086,436.1036,294.39627,437.5819,313.05203,159.75102,410.2057,417.10645,423.49408,441.8395,425.68,433.75473,360.36218,303.77628,423.34833,239.67786,435.22772,381.00397,445.93143,367.5884,307.81192,273.00443,412.4055,406.51074,377.01187,335.6471,365.12018,277.55353,394.32758,378.16187,420.44012,426.29318,431.57504,438.99353,445.3961,442.716,444.53345
12,118.609344,237.48445,247.09317,354.8946,222.3942,356.04355,249.76039,446.49115,387.0866,240.22974,365.6131,438.77258,454.28912,174.526,251.44273,134.87976,436.81323,412.58984,173.41685,339.07364,237.56514,408.55954,364.96622,306.2416,465.56595,329.03998,462.35165,456.87006,211.5462,418.237,252.61717,361.61252,301.48987,409.43225,346.41998,215.51146,412.8767,324.3017,413.9845,412.38275,362.38647,460.28333,249.24066,440.94336,413.18747,403.6294,384.58585,475.5699,324.60742,376.86652,417.40982,355.30338,346.80713,403.63647,329.3515,425.51868,388.41855,154.92703,414.40652,411.0872,407.81744,437.16983,429.95398,414.06982,328.52823,234.93018,365.46533,225.33514,372.9177,373.43234,393.61496,371.78946,225.65952,267.4923,420.21307,391.52426,344.0743,351.67026,393.18878,303.36157,399.1223,323.08838,477.23874,419.17886,528.4077,431.46875,189.94666,439.11548,442.49246,416.74673,485.03775,360.22073,597.664,315.06818,390.34323,442.9652,352.90253,349.65588,436.41882,294.12952,437.76117,312.94336,159.78575,410.43893,417.46872,423.78967,442.59845,426.11798,434.18793,360.43546,303.5727,423.97644,239.72722,435.70935,380.9098,446.603,367.69806,307.89026,272.6959,412.7806,406.487,377.3886,335.4883,365.0987,277.17087,394.54263,377.9582,420.6114,426.16864,432.21017,438.9051,444.84247,442.21692,445.07126
13,118.847694,237.51727,246.95537,354.70074,222.1921,355.88022,249.60588,446.0731,387.1,240.43546,365.41534,438.79636,454.06247,174.55147,251.47366,135.12292,436.6666,412.6858,173.30406,339.27118,237.2297,408.6823,365.1004,306.05093,465.607,329.10947,462.4433,457.11227,211.4446,418.2233,252.71065,361.45886,301.44894,409.4174,346.31677,215.512,413.01093,324.4731,413.7707,412.55035,362.38086,460.16824,249.09053,440.65634,412.6591,403.86215,384.73877,474.87128,324.13303,376.6193,417.3953,355.35983,346.6219,403.55298,329.1965,425.66858,388.61536,155.21088,413.87866,411.34116,407.5534,437.323,429.75595,413.85455,328.4516,235.47893,365.22922,224.95349,372.83746,372.9366,393.5894,370.50336,225.49039,267.2381,420.1779,390.44452,343.7761,351.3805,393.06094,302.9542,399.09143,323.32224,477.03998,419.0835,527.891,431.1199,190.1192,438.79413,442.3979,416.666,484.89355,359.74777,597.313,315.08282,389.90115,442.361,352.45865,349.63208,436.2124,293.8518,438.07535,312.6462,159.7989,410.6694,417.80182,423.60675,442.9894,426.15265,433.88593,360.87222,303.5456,423.68872,239.73781,436.2472,380.92944,446.9177,367.5533,307.67953,272.239,412.8202,406.5155,377.0682,334.96512,364.91754,276.76324,394.09906,377.63547,420.39377,426.63992,432.19928,439.06155,444.13123,441.47406,445.35605
14,119.33292,237.83574,246.91614,354.6157,222.14337,355.6566,249.3678,445.70493,387.01843,240.34676,365.04453,438.8489,453.62387,174.41322,251.33893,135.35754,436.43692,412.909,173.38559,339.4901,237.135,409.02545,364.97244,305.44382,465.51215,329.3322,462.40317,457.0065,211.25098,418.20764,252.78606,361.5042,301.38565,409.18402,346.223,215.49724,413.12552,324.64957,413.5401,412.84818,362.28055,460.25037,248.78584,440.34006,412.38342,403.91034,384.67303,474.35504,323.76294,376.37912,417.414,355.1681,346.70438,403.3475,329.3284,425.28738,388.52643,155.12169,413.3064,411.19232,407.45795,437.32034,429.4859,413.88394,328.40366,236.2303,365.62375,224.40982,372.5527,372.7859,393.69986,369.58542,225.46527,266.9701,420.402,389.46915,343.5327,351.05765,393.01688,302.53262,399.2191,324.0264,476.7314,418.72784,527.8638,430.8834,190.28302,439.4971,442.49747,417.05994,484.2622,359.5605,596.71277,315.07684,389.27527,441.9837,352.19736,349.5298,435.53647,293.75095,438.29034,312.35907,159.76248,410.87222,417.66782,423.14044,442.55817,425.77505,432.95404,361.67062,303.66113,422.61026,239.49828,436.21033,381.04587,446.46222,367.20007,307.3892,271.93945,412.56067,406.48523,376.51993,334.46475,364.5161,276.54575,393.5265,377.31097,419.91486,427.22928,431.43994,439.22977,443.9508,441.01056,444.90134
15,119.7225,238.18813,246.9298,354.74426,222.29907,355.3205,249.19383,445.35388,386.9046,240.0531,364.65625,438.68085,453.34213,174.23224,251.21454,135.44484,436.13995,413.20056,173.52045,339.66653,237.32228,409.39606,364.86362,304.76544,465.2869,329.41696,462.25235,456.89816,211.07382,418.15112,252.75856,361.5774,301.2984,408.68088,346.27832,215.45897,413.15875,324.68024,413.5816,413.14432,362.30283,460.20627,248.52756,440.12915,412.52734,403.99817,384.43497,474.04227,323.67075,376.35297,417.3435,354.87122,346.92258,403.24564,329.579,424.4281,388.26193,154.96397,413.02435,410.52017,407.7577,436.7972,429.28812,414.16,328.39612,236.72931,366.309,224.05353,372.0546,373.23178,393.9913,369.75037,225.51135,267.05643,420.60422,389.50034,343.63403,351.20413,393.15695,302.4823,399.33154,324.7474,476.6416,418.46912,528.0611,430.94516,190.24713,440.53726,442.83698,417.80795,483.6028,359.70737,596.0246,315.18018,389.05148,441.88416,352.1756,349.4224,434.83185,293.8359,438.22357,312.40125,159.84935,411.12723,417.2353,422.9377,441.55414,425.40372,432.06128,362.5445,303.73358,421.57092,239.16841,435.599,381.30035,445.50992,367.00943,307.24255,271.96082,412.2836,406.60605,376.46503,334.42337,363.99585,276.45868,393.526,377.2221,419.6528,427.41986,430.57382,439.28305,444.4868,441.31516,444.20822
16,119.894875,238.33601,246.95352,354.98303,222.52402,355.02246,249.25743,445.09662,386.88965,239.84727,364.44983,438.4021,453.40048,174.15932,251.28151,135.45325,435.91782,413.4722,173.53522,339.82184,237.59477,409.5764,365.02396,304.59647,465.0841,329.2719,462.081,457.11856,210.997,417.95853,252.66444,361.63254,301.24432,408.34793,346.46677,215.38718,413.1151,324.58447,413.87872,413.31766,362.523,459.90414,248.53606,440.0552,412.8575,404.25504,384.30978,473.81207,323.76025,376.54114,417.20718,354.8416,347.11523,403.45743,329.70132,423.40082,388.10703,155.08258,413.23364,409.71066,408.14963,435.63794,429.2486,414.41827,328.50916,236.7594,366.69995,224.16556,371.62268,373.9895,394.20374,370.8242,225.57146,267.43637,420.55554,390.58282,344.05496,351.90012,393.46878,302.7314,399.3333,325.14868,476.8929,418.5375,527.9135,431.21307,190.04414,440.77435,443.13293,418.32666,483.3642,359.99963,595.57104,315.32025,389.4807,442.01654,352.30658,349.436,434.57776,293.97748,437.93658,312.77466,160.23221,411.44122,417.11673,423.24728,440.75555,425.4611,431.86273,363.05386,303.67682,421.34326,239.08894,435.10883,381.67914,444.81418,367.2166,307.3145,272.19934,412.14935,407.0241,377.02377,334.85965,363.66818,276.34912,394.17624,377.5522,419.9185,427.13766,430.43613,439.2682,445.10672,442.1704,444.12558
17,119.967354,238.2574,246.97955,355.15082,222.60918,354.91812,249.52069,444.96783,387.00995,239.9123,364.4712,438.3212,453.60397,174.21815,251.49452,135.56,435.8953,413.60608,173.4016,339.94754,237.69458,409.4232,365.34653,305.11563,465.04102,329.0956,461.95398,457.58737,211.00984,417.66266,252.6095,361.76413,301.27518,408.5604,346.63538,215.25977,413.05844,324.4582,414.1076,413.29517,362.73618,459.58325,248.78192,440.0869,413.06302,404.4794,384.48404,473.6696,323.85214,376.6636,417.1787,355.22098,347.26483,403.87152,329.62375,422.73816,388.21008,155.41295,413.7736,409.4307,408.1446,434.4201,429.37015,414.421,328.6945,236.42981,366.55606,224.59637,371.62842,374.5148,394.0518,371.98795,225.63179,267.6861,420.32004,391.89246,344.46793,352.67252,393.78934,302.90784,399.29596,325.2063,477.2827,418.84857,527.27765,431.4425,189.87743,439.7205,443.1198,418.26614,483.6243,360.2567,595.5772,315.33786,390.21213,442.33408,352.51236,349.6463,434.882,294.08615,437.7043,313.1082,160.79842,411.66733,417.59628,423.72708,440.7657,425.94858,432.4024,363.01373,303.63898,421.90662,239.36581,435.32468,381.99155,444.8703,367.60614,307.5152,272.4214,412.05283,407.4463,377.55426,335.33185,363.78876,276.2488,394.84198,378.21143,420.47244,426.75195,431.25726,439.29715,444.92868,442.66946,444.79266
18,120.04129,238.11996,247.02298,355.19504,222.49292,354.9895,249.71858,444.85977,387.16095,240.18486,364.57974,438.5385,453.6341,174.32407,251.62532,135.82208,436.02853,413.53604,173.24107,339.96765,237.53622,408.97354,365.5109,305.79523,465.11813,329.1357,461.88766,457.95056,211.04622,417.45074,252.64801,361.9965,301.35294,409.10977,346.6692,215.09523,413.0719,324.3492,413.98322,413.07437,362.68677,459.54645,249.01947,440.2011,413.07788,404.37418,384.81757,473.82947,323.88818,376.44986,417.39023,355.70724,347.4298,404.1533,329.49973,422.83984,388.43558,155.5505,414.2223,409.99957,407.66785,434.0735,429.5767,414.2838,328.7419,235.99904,366.19696,224.86603,372.1273,374.5063,393.60754,372.52643,225.68431,267.5125,420.16943,392.51132,344.56656,352.96823,393.9172,302.8224,399.3489,325.1033,477.5011,419.16092,526.66,431.5709,189.87727,437.98605,442.84488,417.90823,484.14044,360.3974,595.9526,315.21292,390.66605,442.7273,352.72992,349.96994,435.4086,294.18585,437.7587,313.07047,161.16176,411.62918,418.20163,423.8486,441.4765,426.4428,433.11588,362.69586,303.8195,422.55197,239.73665,435.9839,381.94937,445.44287,367.74185,307.69202,272.4764,411.8441,407.3438,377.39697,335.4015,364.2349,276.35242,394.86597,378.82324,420.7573,426.6167,432.42105,439.40784,443.73166,442.0416,445.4076
19,120.02952,238.07097,247.09648,355.21478,222.32776,355.112,249.6297,444.66028,387.21588,240.48315,364.6258,438.78058,453.43976,174.42036,251.53041,136.07616,436.14587,413.33398,173.16992,339.8365,237.26904,408.4579,365.38608,305.88284,465.12726,329.40146,461.8878,457.99045,211.0713,417.46997,252.7263,362.1736,301.38452,409.41852,346.60602,215.01282,413.19254,324.25134,413.56332,412.74826,362.37943,459.74466,249.09511,440.38507,413.04498,403.95694,384.98978,474.44266,323.9331,375.98145,417.74762,355.86722,347.57098,404.13043,329.51218,423.5591,388.5219,155.27133,414.28424,410.99796,407.1775,434.94992,429.7457,414.3815,328.5263,235.6711,366.11935,224.6895,372.70642,374.12823,393.27686,372.34033,225.70654,267.08588,420.26614,392.208,344.33826,352.67883,393.78488,302.65802,399.5049,325.0111,477.4215,419.32645,526.6396,431.77768,189.96721,436.57312,442.56628,417.76422,484.65292,360.34158,596.3686,315.09665,390.61334,442.95325,352.81934,350.1906,435.70572,294.31317,438.04373,312.74182,161.02763,411.3098,418.2,423.49332,442.2116,426.50024,433.415,362.54074,304.1752,422.70605,239.85558,436.22995,381.4399,445.8731,367.4618,307.76056,272.37164,411.57263,406.56747,376.65723,335.09406,364.53317,276.7199,394.24686,378.99408,420.51126,426.68,433.027,439.51498,442.2277,440.4395,445.08502
